"%s already exist","%s already exist"
"%s already exists","%s already exists"
"-- Please Select --","-- Vali --"
"Locale","Lokaliseering"
"Locale options","Lokaliseeringuseaded"
"Log Settings","Logiseaded"
"Logging from Mage::log(). File is located in�{{base_dir}}/var/log","Logging from Mage::log(). File is located in�{{base_dir}}/var/log"
"Logging from Mage::logException(). File is located in�{{base_dir}}/var/log","Logging from Mage::logException(). File is located in�{{base_dir}}/var/log"
"Logo Image Alt","Logo asendustekst"
"Logo Image Src","Logo URL"
"Manage Stores","Halda poode"
"Match expressions in the same order as displayed in the configuration.","Match expressions in the same order as displayed in the configuration."
"Miscellaneous HTML","HTML ja JavaScript"
"Miscellaneous scripts","JavaScript"
"Model class does not exist: %s","Model class does not exist: %s"
"Model collection resource name is not defined","Model collection resource name is not defined"
"Module ""%1$s"" can not be depended from ""%2$s""","Module ""%1$s"" can not be depended from ""%2$s"""
"Module ""%1$s"" requires module ""%2$s""","Module ""%1$s"" requires module ""%2$s"""
"Name","Nimi"
"New Design Change","Uus disaini muudatus"
"New Store","Uus pood"
"New Store View","Uus poe vaade"
"New Website","Uus veebisait"
"No","Ei"
"Package","Pakk"
"Please choose to register or to checkout as a guest","Palun valige kas registreerida või vormistada ost külalisena"
"Please define flag code.","Please define flag code."
"Please enter 6 or more characters.","Palun sisesta 6 või enam tähemärki."
"Please enter 6 or more characters. Leading or trailing spaces will be ignored.","Palus sisesta 6 või enam tähemärki. Tühikuid alguses või lõpus ignoreeritakse"
"Please enter a number greater than 0 in this field.","Palun sisesta siia 0-st suurem number"
"Please enter a valid $ amount. For example $100.00.","Palun sisesta kehtiv kr summa. Näiteks 100 kr."
"Please enter a valid URL. For example http://www.example.com or www.example.com","Palun sisesta kehtiv URL. Näiteks http://www.domeeninimi.ee"
"Please enter a valid URL. http:// is required","Palun sisesta kehtiv URL. Http:// on nõutav"
"Please enter a valid credit card number.","Palun sisesta kehtiv krediitkaardi number"
"Please enter a valid date.","Palun sisesta korrektne kuupäev."
"Please enter a valid email address. For example johndoe@domain.com.","Palun sisesta kehtiv e-kirja aadress. Näiteks: tiittamm@domeeninimi.ee"
"Please enter a valid number in this field.","Palun sisesta sellele väljale kehtiv number"
"Please enter a valid phone number. For example (123) 456-7890 or 123-456-7890.","Palun sisesta kehtiv telefoni number."
"Please enter a valid social security number. For example 123-45-6789.","Palun sisesta kehtiv sotsiaalkindlustuse number"
"Please enter a valid zip code.","Palun sisesta korrektne postiindeks."
"Please enter a valid zip code. For example 90602 or 90602-1234.","Palun sisesta kehtiv postiindeks."
"Please enter valid password.","Palun sisesta kehtiv salasõna"
"Please make sure that Base URL ends with '/' (slash), e.g. http://yourdomain/magento/","Please make sure that Base URL ends with '/' (slash), e.g. http://yourdomain/magento/"
"Please make sure your passwords match.","Palun taga et salasõnad ühtivad"
"Please select State/Province.","Palun vali maakond"
"Please select an option.","Palun tee valik"
"Please select one of the above options.","Palun tee üks valikutest ülalpool"
"Please select one of the options.","Palun vali üks"
"Please specify payment method.","Palun määrake makseviis."
"Please specify shipping method.","Palun määrake kohaletoimetamise viis."
"Please use letters only (a-z or A-Z) in this field.","Palun kasuta siin väljas ainult (a-z või A-Z) tähti."
"Please use letters only (a-z) in this field.","Palun kasuta sellel väljal ainult tähti (a-z)."
"Please use numbers only in this field. please avoid spaces or other characters such as dots or commas.","Palun kasuta sellel väljal ainult numbreid. Palun väldi tühikuid ja teisi märke nagu näiteks punktid ja komad."
"Please use only letters (a-z) or numbers (0-9) only in this field. No spaces or other characters are allowed.","Palun kasuta selle väljal ainult tähti (a-z) või numbreid (0-9). Tühikud ja muud märgid pole lubatud."
"Please use only letters (a-z) or numbers (0-9) or spaces and # only in this field.","Palun kasutage sellel väljal ainult tähti (a-z) või numbreid (0-9) või tühikuid ja numbreid."
"Please use only letters (a-z), numbers (0-9) or underscore(_) in this field, first character should be a letter.","Palun kasutage sellel väljal ainult tähti (a-z), numbreid (0-9) või alakriipsu(_), esimene märk peab olema täht."
"Please use this date format: dd/mm/yyyy. For example 17/03/2006 for the 17th of March, 2006.","Palun kasutage seda kuupäeva formaati: pp/kk/aaaa. Näiteks 26/05/2008."
"Please wait, loading...","Palun oota, laen..."
"Polls","Küsitlused"
"Port (25)","Port (25)"
"Profiler","Profiler"
"Prototype Deprecation Log","Prototype Deprecation Log"
"Request path for specified store","Request path for specified store"
"Requested invalid store ""%s""","Requested invalid store ""%s"""
"Resource is not set","Resource is not set"
"Root Category","Juurkategooria"
"SMTP settings (Windows server only)","SMTP seaded (vaid Windowsi serveritele)"
"Sales representative","Müügiesindaja"
"Save","Salvesta"
"Save Store","Salvesta pood"
"Save Store View","Salvesta poe vaade"
"Save Website","Salvesta veebisait"
"Search Engines Optimization","Otsingumootori optimiseerimine"
"Secure","Turvaline"
"Security","Turvaseaded"
"Select Date","Vali kuupäev"
"Sender email","Sender email"
"Sender name","Sender name"
"Services","Teenused"
"Session Cookie management","Session Cookie management"
"Session Lifetime, Seconds","Sessiooni eluiga, sekundites"
"Session Validation Settings","Session Validation Settings"
"Set as default","Set as default"
"Skin (Images / CSS)","Elemendid (pildid / CSS)"
"Sort order","Sorteerimisjärjekord"
"Specified date/time ""%1$s"" do not match format ""%2$s"".","Specified date/time ""%1$s"" do not match format ""%2$s""."
"Specify either category or product, or both.","Specify either category or product, or both."
"Start date can't be greater than end date","Start date can't be greater than end date"
"Startup page","Avaleht"
"Status","Staatus"
"Store","Kauplus"
"Store Email Addresses","Kaupluse e-kirja aadress"
"Store Information","Kaupluse info"
"Store Name","Kaupluse nimi"
"Store View","Poevaade"
"Store View Information","Kaupluse vaate info"
"Store View Name","Kaupluse vaate nimi"
"Store View was successfully saved","Store View was successfully saved"
"Store code should contain only letters (a-z), numbers (0-9) or underscore(_), first character should be a letter","Store code should contain only letters (a-z), numbers (0-9) or underscore(_), first character should be a letter"
"Store doesn't exist","Store doesn't exist"
"Store view doesn't exist","Store view doesn't exist"
"Store view was successfully deleted.","Store view was successfully deleted."
"Store was successfully deleted.","Store was successfully deleted."
"Store was successfully saved","Store was successfully saved"
"Store with the same code","Kauplus sama koodiga"
"System","Süsteem"
"System Log File Name","Süsteemilogi faili nimi"
"Template Path Hints","Malli tee vihjed"
"Templates","Mallid"
"The %s you entered is invalid. Please make sure that it follows ""http://domain.com/"" format.","The %s you entered is invalid. Please make sure that it follows ""http://domain.com/"" format."
"Themes","Kestad"
"This category and all its child elements","This category and all its child elements"
"This category and its child categories only","This category and its child categories only"
"This category and its products only","This category and its products only"
"This category only","Ainult see kategooria"
"This is a required field.","See väli on kohustuslik."
"This store cannot be deleted","This store cannot be deleted"
"This store cannot be deleted.","This store cannot be deleted."
"This store view cannot be deleted","This store view cannot be deleted"
"This store view cannot be deleted.","This store view cannot be deleted."
"This website cannot be deleted","This website cannot be deleted"
"This website cannot be deleted.","This website cannot be deleted."
"This will be displayed just before body closing tag","Kuvatakse vahetult enne lehe lõppu"
"This will be included before head closing tag in page HTML","Kuvatakse vahetult enne HTML lehe päise lõppu"
"Timezone","Ajavöönd"
"Title Prefix","Tiitelriba prefiks"
"Title Suffix","Tiitelriba suffiks"
"Translate Inline","Dünaamiline tõlkimine"
"Translate cache should be disabled for both Frontend and Admin inline translations","Translate cache should be disabled for both Frontend and Admin inline translations"
"Translations","Tõlked"
"Unable to delete store view. Please, try again later.","Unable to delete store view. Please, try again later."
"Unable to delete store. Please, try again later.","Unable to delete store. Please, try again later."
"Unable to delete website. Please, try again later.","Unable to delete website. Please, try again later."
"Unable to proceed. Please, try again","Ei saa jätkata. Palun proovi uuesti."
"Unknown scope ""%s""","Unknown scope ""%s"""
"Unsecure","Turvamata"
"Url Options","URL-i seaded"
"Use HTTP Only","Use HTTP Only"
"Use Secure URLs in Admin","Kasuta turvalisi URLe Admin-is"
"Use Secure URLs in Frontend","Kasuta turvalisi URL-e Frontendis"
"Use Web Server Rewrites","Kasuta veebiserveri ülekirjutamisi"
"Use custom admin URL","Kasuta alternatiivset haldusliidese URL-i"
"Validate HTTP_USER_AGENT","Validate HTTP_USER_AGENT"
"Validate HTTP_VIA","Validate HTTP_VIA"
"Validate HTTP_X_FORWARDED_FOR","Validate HTTP_X_FORWARDED_FOR"
"Validate REMOTE_ADDR","Validate REMOTE_ADDR"
"Values less than 60 are ignored.","Values less than 60 are ignored."
"Web","Serveri seaded"
"Website","Veebisait"
"Website Information","Veebisaidi info"
"Website Name","Veebisaidi nimi"
"Website code should contain only letters (a-z), numbers (0-9) or underscore(_), first character should be a letter","Website code should contain only letters (a-z), numbers (0-9) or underscore(_), first character should be a letter"
"Website doesn't exist","Website doesn't exist"
"Website was successfully deleted.","Website was successfully deleted."
"Website was successfully saved","Website was successfully saved"
"Website with the same code","Veebisait sama koodiga"
"Weekend Days","Nädalavahetuse päevad"
"Welcome Text","Tervitussõnum"
"Wrong number of arguments for %s","Vale argumentide arv %s jaoks"
"Yes","Jah"
"Your order can not be completed at this time as there is no payment methods available for it.","Your order can not be completed at this time as there is no payment methods available for it."
"Your order can not be completed at this time as there is no shipping methods available for it. Please make necessary changes in your shipping address.","Your order can not be completed at this time as there is no shipping methods available for it. Please make necessary changes in your shipping address."
"Your session has been expired, you will be relogged in now.","Teie sessioon on aegunud, Teid taaslogitakse kohe."
"Search","Otsi"
"Go","Mine"
"Search entire store here...","Search entire store here..."
"Compare Products","Võrdle tooteid"
"Back to Main Product Info","Back to Main Product Info"
"You have no items to compare.","Pole midagi võrrelda"
"Clear All","Clear All"
"Search entire store here...","Search entire store here..."
"Search","Otsi"
"About the calendar","About the calendar"
"For latest version visit: %s","For latest version visit: %s"
"Distributed under GNU LGPL. See %s for details.","Distributed under GNU LGPL. See %s for details."
"Date selection:","Date selection:"
"- Use the %s, %s buttons to select year","- Use the %s, %s buttons to select year"
"- Use the %s buttons to select month","- Use the %s buttons to select month"
"- Hold mouse button on any of the above buttons for faster selection.","- Hold mouse button on any of the above buttons for faster selection."
"Time selection:","Time selection:"
"- Click on any of the time parts to increase it","- Click on any of the time parts to increase it"
"- or click and drag for faster selection.","- or click and drag for faster selection."
"Go Today","Go Today"
"Next month (hold for menu)","Next month (hold for menu)"
"Next year (hold for menu)","Next year (hold for menu)"
"Select date","Vali kuupäev"
"Drag to move","Drag to move"
"Close","Sulge"
"(Shift-)Click or drag to change value","(Shift-)Click or drag to change value"
"Time:","Time:"
"DHTML Date/Time Selector","DHTML Date/Time Selector"
